"produto_id","fabrica_id","referencia_anonima","linha_id","familia_id","linha_descricao","familia_descricao"
402040,158,"REF-b3ef660c4abf33300edf08e637313bf2",933,5370,"REFRIGERADOR","REFRIGERADOR"
413660,158,"REF-1fb0981acb76d73a74ff7432c72dd871",933,5370,"REFRIGERADOR","REFRIGERADOR"
413661,158,"REF-fcbb19ceb4d921fcb8419a9445a6be35",933,5370,"REFRIGERADOR","REFRIGERADOR"
413662,158,"REF-a5e21608623f78ead5c29b82b6c14740",933,5370,"REFRIGERADOR","REFRIGERADOR"
413663,158,"REF-0a36d5599e4af693bf7248f4f837c6e5",933,5370,"REFRIGERADOR","REFRIGERADOR"
413664,158,"REF-f1df853f7fb216b18f5c6a044c80d0fd",933,5370,"REFRIGERADOR","REFRIGERADOR"
413665,158,"REF-5dda856e80b0559df9a8b265fd12f58e",933,5370,"REFRIGERADOR","REFRIGERADOR"
413666,158,"REF-3b47f4f3355010056bfa8109b9aea82c",933,5370,"REFRIGERADOR","REFRIGERADOR"
413667,158,"REF-e5d6cadfc7469cfa28cdab77b1217edc",933,5370,"REFRIGERADOR","REFRIGERADOR"
413668,158,"REF-396fbfd538e8e7a7b36c7f9cd2db8b34",933,5370,"REFRIGERADOR","REFRIGERADOR"
413669,158,"REF-2fadf3d7e10b3b66cd03ee2094080fd4",933,5370,"REFRIGERADOR","REFRIGERADOR"
413670,158,"REF-79a9c028f6d9b21de163d1e6abddb37f",933,5370,"REFRIGERADOR","REFRIGERADOR"
413671,158,"REF-130d0554bac14f9d79484f6a5cd53358",933,5370,"REFRIGERADOR","REFRIGERADOR"
413672,158,"REF-193ea5342cab845eb34522301196be2c",933,5370,"REFRIGERADOR","REFRIGERADOR"
413673,158,"REF-b915557d51830ec4b5f225f590bb05e5",933,5370,"REFRIGERADOR","REFRIGERADOR"
413674,158,"REF-74d260e764a4f115d8e65cd07d93a5e6",933,5370,"REFRIGERADOR","REFRIGERADOR"
413675,158,"REF-45f9840756a4ddb7e976408011bbc5d3",933,5370,"REFRIGERADOR","REFRIGERADOR"
413676,158,"REF-a80110e60c666fc928a66a6188618a84",933,5370,"REFRIGERADOR","REFRIGERADOR"
413677,158,"REF-bd2d3260056ca7786ef15ca2b501083e",933,5370,"REFRIGERADOR","REFRIGERADOR"
413678,158,"REF-ba14cc916790a8b81bff1416718345d9",933,5370,"REFRIGERADOR","REFRIGERADOR"
413679,158,"REF-b0e9f542189284f4af6ada66c38b10db",933,5370,"REFRIGERADOR","REFRIGERADOR"
413680,158,"REF-8cac78ec67d1164d0ef172bbebcab554",933,5370,"REFRIGERADOR","REFRIGERADOR"
413681,158,"REF-4d64f84935365e2ad42bf4ba0e2630f3",933,5370,"REFRIGERADOR","REFRIGERADOR"
413682,158,"REF-9cfd30374414053f676b84af7750a54e",933,5370,"REFRIGERADOR","REFRIGERADOR"
413683,158,"REF-18081df543a773db558a3c4171e5f84e",933,5370,"REFRIGERADOR","REFRIGERADOR"
413684,158,"REF-a01a3eb7b66283c5b705544543a08743",933,5370,"REFRIGERADOR","REFRIGERADOR"
413685,158,"REF-372babb5baeab8060359d496c070d317",933,5370,"REFRIGERADOR","REFRIGERADOR"
413686,158,"REF-87d766f54bb4434d12e0a8462106b8fb",933,5370,"REFRIGERADOR","REFRIGERADOR"
413687,158,"REF-385c824d0531df986b77e115848b6cef",933,5370,"REFRIGERADOR","REFRIGERADOR"
413688,158,"REF-dd3852c4ee1f228281054edb796af066",933,5370,"REFRIGERADOR","REFRIGERADOR"
413689,158,"REF-c351a32b9066a8e5cdbba343a0ac2e03",933,5370,"REFRIGERADOR","REFRIGERADOR"
413690,158,"REF-95176938228d22fa5ac37b684b2eb7fb",933,5370,"REFRIGERADOR","REFRIGERADOR"
413691,158,"REF-818cf4e0a885816afa6c6b22682d3050",933,5370,"REFRIGERADOR","REFRIGERADOR"
413692,158,"REF-fd3688a57d2a9fef584ba13e99286631",933,5370,"REFRIGERADOR","REFRIGERADOR"
413693,158,"REF-2222f371ae577afad5263d7454ecda33",933,5370,"REFRIGERADOR","REFRIGERADOR"
413694,158,"REF-7e93dd6b3b6f1a74688555f68432bde0",933,5370,"REFRIGERADOR","REFRIGERADOR"
413695,158,"REF-d7dcfa35246653dd2479f533226802e8",933,5370,"REFRIGERADOR","REFRIGERADOR"
413696,158,"REF-625efa2d08d4c26b8299c6d3c61ad2c6",933,5370,"REFRIGERADOR","REFRIGERADOR"
413697,158,"REF-07ee2f11cd514b925e7f9e704f479eb7",933,5370,"REFRIGERADOR","REFRIGERADOR"
413698,158,"REF-fee5169c4203e657c47386bea27d4f79",933,5370,"REFRIGERADOR","REFRIGERADOR"
413699,158,"REF-68d9e633f1d0bc1bd6e526ac0dfbf118",933,5370,"REFRIGERADOR","REFRIGERADOR"
413700,158,"REF-746b524820400cad307ce5a647d72b8f",933,5370,"REFRIGERADOR","REFRIGERADOR"
413701,158,"REF-e15969a0a4d648093edcec6f18b3e6db",933,5370,"REFRIGERADOR","REFRIGERADOR"
413702,158,"REF-33efab1ed8bbeb733a3f19f6c0378c66",933,5370,"REFRIGERADOR","REFRIGERADOR"
413703,158,"REF-1e4caea29ca208320baa4701393223ef",933,5370,"REFRIGERADOR","REFRIGERADOR"
413704,158,"REF-7fa228a998cb8796f54743957ae0782f",933,5370,"REFRIGERADOR","REFRIGERADOR"
413705,158,"REF-2f6e6091d24ec44b379db9a08747b503",933,5370,"REFRIGERADOR","REFRIGERADOR"
413706,158,"REF-4954b0a027f19814b023544daff36426",933,5370,"REFRIGERADOR","REFRIGERADOR"
413707,158,"REF-2218a87a03dbd4530c0962fcf977d115",933,5370,"REFRIGERADOR","REFRIGERADOR"
413708,158,"REF-3c6335b59dcd36b2f1a65a5b9fba737f",933,5370,"REFRIGERADOR","REFRIGERADOR"
413709,158,"REF-3ed3970a0f7bfc52cddece98be94d49a",933,5370,"REFRIGERADOR","REFRIGERADOR"
413710,158,"REF-0fe361bbe3d0be186160023cc292863e",933,5370,"REFRIGERADOR","REFRIGERADOR"
413711,158,"REF-97aa79dd276c3e808aa19bfeb2b407f6",933,5370,"REFRIGERADOR","REFRIGERADOR"
413712,158,"REF-59e9261b88d117be10170005d38f5d04",933,5370,"REFRIGERADOR","REFRIGERADOR"
413713,158,"REF-c0e50ae570ab5b8ad7327671688efebe",933,5370,"REFRIGERADOR","REFRIGERADOR"
413714,158,"REF-662a766a72e77006bac43b403a9e13a8",933,5370,"REFRIGERADOR","REFRIGERADOR"
413715,158,"REF-9e76f86a1825c6849bab93197bb8da60",933,5370,"REFRIGERADOR","REFRIGERADOR"
413716,158,"REF-b7c7cff4f83dd80942b8458b1f782d94",933,5370,"REFRIGERADOR","REFRIGERADOR"
413717,158,"REF-9c7cd88d6806c5f5def406d9f1c4ca96",933,5370,"REFRIGERADOR","REFRIGERADOR"
413718,158,"REF-5fe1ed64e31c02159b55d826a572e33b",933,5370,"REFRIGERADOR","REFRIGERADOR"
413719,158,"REF-cbda33079db624092d57855cb42fdb5c",933,5370,"REFRIGERADOR","REFRIGERADOR"
413720,158,"REF-428e3cdb1c1f5cd5d7e0b465af011a43",933,5370,"REFRIGERADOR","REFRIGERADOR"
413721,158,"REF-03a4f58e35a4eb51d550eb2f7864a216",933,5370,"REFRIGERADOR","REFRIGERADOR"
413722,158,"REF-eaaf02283e07089117e2c5efdf796a49",933,5370,"REFRIGERADOR","REFRIGERADOR"
413723,158,"REF-dc5d8e6d6052800407f88437eaaf6d8d",933,5370,"REFRIGERADOR","REFRIGERADOR"
413724,158,"REF-ccdffef52aad8731d5b960c4451abe25",933,5370,"REFRIGERADOR","REFRIGERADOR"
413725,158,"REF-f1a4e17ddff1de9f2e347ee0496e98cf",933,5370,"REFRIGERADOR","REFRIGERADOR"
413726,158,"REF-ba009e18cfe48b8e119808ad8a3d9356",933,5370,"REFRIGERADOR","REFRIGERADOR"
413727,158,"REF-d7daa9c40d8ea48ab57e3e5e4cd53b5b",933,5370,"REFRIGERADOR","REFRIGERADOR"
413728,158,"REF-ff784ffa0cf582e978e85713817e3162",933,5370,"REFRIGERADOR","REFRIGERADOR"
413729,158,"REF-380586d17bb56cb7c1310c5d535be007",933,5370,"REFRIGERADOR","REFRIGERADOR"
413730,158,"REF-92707dde5e05be046a7ab244065eaed2",933,5370,"REFRIGERADOR","REFRIGERADOR"
413731,158,"REF-17302098446770feabd51de119366d3e",933,5370,"REFRIGERADOR","REFRIGERADOR"
413732,158,"REF-d0bc7e0cfccc887ab71d14f6ec5cc38b",933,5370,"REFRIGERADOR","REFRIGERADOR"
413733,158,"REF-30a56a4dfd0e181a013b72c6be7bd9b5",933,5370,"REFRIGERADOR","REFRIGERADOR"
413734,158,"REF-4bcaedda9ef4b2558bd74c4891b692c8",933,5370,"REFRIGERADOR","REFRIGERADOR"
413735,158,"REF-1f97e96ec077b9fe8340f185e39c414c",933,5370,"REFRIGERADOR","REFRIGERADOR"
413736,158,"REF-07913c64841733e5c2734dfc94149f6a",933,5370,"REFRIGERADOR","REFRIGERADOR"
413737,158,"REF-46859f7c1bb932449461d54b533500bd",933,5370,"REFRIGERADOR","REFRIGERADOR"
413738,158,"REF-5c66d810dc2975dc38fedce28e82bb94",933,5370,"REFRIGERADOR","REFRIGERADOR"
413739,158,"REF-1bd5cfd9c8da177d2c6f22e47385eec9",933,5370,"REFRIGERADOR","REFRIGERADOR"
413740,158,"REF-1283615a90727de40fc8b5c2efdd95e9",933,5370,"REFRIGERADOR","REFRIGERADOR"
413741,158,"REF-3acb208ce786018f5340ec0a1c7cc59c",933,5370,"REFRIGERADOR","REFRIGERADOR"
413742,158,"REF-d558f47ee690b0d97ce0df6053d23374",933,5370,"REFRIGERADOR","REFRIGERADOR"
413743,158,"REF-44a9f6bb7d7e413c5e83d4c261f70490",933,5370,"REFRIGERADOR","REFRIGERADOR"
413744,158,"REF-b37313b0ef009a6fbf264733a7ffc395",933,5370,"REFRIGERADOR","REFRIGERADOR"
413745,158,"REF-963c7579c03671c45c54fbd01e99adf8",933,5370,"REFRIGERADOR","REFRIGERADOR"
413746,158,"REF-1064e132266709cd0ad857b00a44d400",933,5370,"REFRIGERADOR","REFRIGERADOR"
413747,158,"REF-6e83b7b3203333c2a4e234d6a1633d0e",933,5370,"REFRIGERADOR","REFRIGERADOR"
413748,158,"REF-044ee5c20106681d1a9d6524e812726d",933,5370,"REFRIGERADOR","REFRIGERADOR"
413749,158,"REF-19bee35960a30e43a1b26531a2022e51",933,5370,"REFRIGERADOR","REFRIGERADOR"
413750,158,"REF-5af05cc64f6660ffd1cb79d18450b8f9",933,5370,"REFRIGERADOR","REFRIGERADOR"
413751,158,"REF-38162568d46d872bfa1e870e17508af4",933,5370,"REFRIGERADOR","REFRIGERADOR"
413752,158,"REF-f50bba40de2f3d1bb8381c4b2cd7134f",933,5370,"REFRIGERADOR","REFRIGERADOR"
413753,158,"REF-ba01f9740afa812ef0c79d6d58c68b8c",933,5370,"REFRIGERADOR","REFRIGERADOR"
413754,158,"REF-427407c783daef78c38044c84ff80875",933,5370,"REFRIGERADOR","REFRIGERADOR"
413755,158,"REF-46ba891d1e4aabac2ca9456b2e68d0d6",933,5370,"REFRIGERADOR","REFRIGERADOR"
413756,158,"REF-bde7529606162cdb5588be53d8e95fc4",933,5370,"REFRIGERADOR","REFRIGERADOR"
413757,158,"REF-e727ec503d2b87f040015b376047139a",933,5370,"REFRIGERADOR","REFRIGERADOR"
413758,158,"REF-eb0edac52a4cff9da9727776fa774bfd",933,5370,"REFRIGERADOR","REFRIGERADOR"
413759,158,"REF-ec07b269e822797e54bd05239259528b",933,5370,"REFRIGERADOR","REFRIGERADOR"
413760,158,"REF-2598c79bff43e3e358cea7abfce6c50f",933,5370,"REFRIGERADOR","REFRIGERADOR"
413761,158,"REF-194288a03773a9e685faf6dd111badf5",933,5370,"REFRIGERADOR","REFRIGERADOR"
413762,158,"REF-0c6b6a5913dddb8a40eec67a8890c11b",933,5370,"REFRIGERADOR","REFRIGERADOR"
413763,158,"REF-3f3b476c10d24fc16d40e3598b3fe856",933,5370,"REFRIGERADOR","REFRIGERADOR"
413764,158,"REF-e1d944532f6d1cad3574eaad5124d7ef",933,5370,"REFRIGERADOR","REFRIGERADOR"
413765,158,"REF-b76c3e7588a76e4b79e954b9376c7b0b",933,5370,"REFRIGERADOR","REFRIGERADOR"
413766,158,"REF-580a5e3e3abe3009c0ea77244e8949aa",933,5370,"REFRIGERADOR","REFRIGERADOR"
413767,158,"REF-d62746727cf95a01bfda8f8b8024b34b",933,5370,"REFRIGERADOR","REFRIGERADOR"
413768,158,"REF-a8ef12ee7a5c18ae1360f990c02c1b02",933,5370,"REFRIGERADOR","REFRIGERADOR"
413769,158,"REF-1b4d7a977c118393e4c4507f8a00c91b",933,5370,"REFRIGERADOR","REFRIGERADOR"
413770,158,"REF-256de57571b04fea8f6c5328ebd09dbe",933,5370,"REFRIGERADOR","REFRIGERADOR"
413771,158,"REF-324f9e5368cf16bff71b676b06f94288",933,5370,"REFRIGERADOR","REFRIGERADOR"
413772,158,"REF-b2b1dc0ef70e4c3b748c7c61f9a5fbdd",933,5370,"REFRIGERADOR","REFRIGERADOR"
413773,158,"REF-304998fb31631d0cdac1b73d03828c8b",933,5370,"REFRIGERADOR","REFRIGERADOR"
413774,158,"REF-6aab80a5c1951d5b3fe14d0652e03557",933,5370,"REFRIGERADOR","REFRIGERADOR"
413775,158,"REF-ac350a23b4a7c48d8dc8c26dfddde1e2",933,5370,"REFRIGERADOR","REFRIGERADOR"
413776,158,"REF-f76eb3c46be28fd5d468027ba88bad18",933,5370,"REFRIGERADOR","REFRIGERADOR"
413777,158,"REF-dbd9bc6c4fb349d613895e881dde585f",933,5370,"REFRIGERADOR","REFRIGERADOR"
413778,158,"REF-fd73c6fdcf341f754576a1fd81be6be8",933,5370,"REFRIGERADOR","REFRIGERADOR"
